date,start,stop,distance,calories,steps
2021-12-01,07:05,07:11,190,7,259
2021-12-01,12:03,12:09,255,9,328
2021-12-01,12:18,12:23,369,13,472
2021-12-01,17:40,17:49,191,6,273
2021-12-01,20:04,20:15,75,3,108
2021-12-02,04:41,05:21,3943,376,4804
2021-12-02,07:00,07:05,192,7,256
2021-12-02,18:09,18:18,182,6,259
2021-12-02,19:05,19:19,74,3,106
2021-12-03,04:22,04:47,322,30,435
2021-12-03,04:48,05:43,5293,493,6372
2021-12-03,12:05,12:10,144,5,206
2021-12-03,16:52,17:05,158,6,225
2021-12-03,17:38,17:44,184,6,262
2021-12-03,17:47,18:02,128,8,183
2021-12-03,19:22,19:33,71,4,101
2021-12-04,05:10,05:15,134,3,191
2021-12-04,06:28,06:34,117,4,167
2021-12-04,06:58,08:48,86,4,123
2021-12-04,11:44,12:00,94,5,135
2021-12-04,15:47,16:03,158,7,226
2021-12-04,16:12,16:23,76,4,109
2021-12-04,16:28,16:33,117,4,167
2021-12-04,17:05,17:30,134,8,192
2021-12-04,18:31,18:42,191,7,272
2021-12-04,19:28,19:34,109,4,156
2021-12-04,20:05,20:13,113,4,162
2021-12-05,07:00,07:04,108,4,155
2021-12-05,07:15,08:23,467,20,665
2021-12-05,08:24,08:37,332,10,473
2021-12-05,08:44,08:50,106,4,152
2021-12-05,09:02,09:07,82,3,118
2021-12-05,17:38,17:55,117,6,167
2021-12-05,18:50,18:58,88,4,126
2021-12-06,04:35,04:53,252,8,340
2021-12-06,04:54,05:33,4229,360,5174
2021-12-06,05:34,05:42,1011,98,1207
2021-12-06,07:09,07:15,185,7,245
2021-12-06,10:12,10:27,112,5,160
2021-12-06,16:54,17:09,163,7,220
2021-12-06,17:29,17:57,163,8,233
2021-12-06,18:03,18:33,211,11,301
2021-12-07,04:47,05:04,1838,172,2247
2021-12-07,05:05,05:31,3059,299,3635
2021-12-07,05:56,06:00,63,3,91
2021-12-07,07:07,07:11,165,6,230
2021-12-07,11:44,11:59,158,4,225
2021-12-07,12:09,12:17,266,12,345
2021-12-07,12:26,12:31,274,9,369
2021-12-07,14:36,14:54,88,5,126
2021-12-07,15:00,15:27,369,13,525
2021-12-08,05:10,05:32,123,6,175
2021-12-08,05:55,06:15,134,6,191
2021-12-08,06:53,07:00,209,8,287
2021-12-08,12:02,12:28,562,21,705
2021-12-08,17:45,17:57,215,9,306
2021-12-08,19:28,19:44,66,4,95
2021-12-09,05:46,06:04,145,7,207
2021-12-09,07:08,07:12,99,4,137
2021-12-09,07:48,08:04,59,3,84
2021-12-09,12:03,12:12,231,8,287
2021-12-09,12:21,12:31,276,11,358
2021-12-09,18:21,18:29,284,9,404
2021-12-09,18:36,18:43,158,5,225
2021-12-09,20:25,20:32,90,5,129
2021-12-10,12:09,12:16,227,9,297
2021-12-10,16:55,17:02,169,6,233
2021-12-10,18:33,18:38,104,3,149
2021-12-10,19:57,20:11,71,3,102
2021-12-10,21:13,21:28,71,3,102
2021-12-11,06:14,06:22,85,4,122
2021-12-11,10:06,10:18,149,6,213
2021-12-11,13:44,13:48,63,2,91
2021-12-11,14:25,14:48,150,6,198
2021-12-11,15:25,15:29,111,4,159
2021-12-11,18:49,18:53,108,4,154
2021-12-11,19:34,19:41,104,3,148
2021-12-12,06:10,06:31,125,6,178
2021-12-12,07:01,07:29,766,25,1090
2021-12-12,07:30,07:44,574,21,785
2021-12-12,07:58,08:14,146,6,209
2021-12-12,08:15,08:20,202,7,288
2021-12-12,08:22,08:43,333,14,455
2021-12-12,08:44,09:32,2645,108,3277
2021-12-12,15:34,15:39,204,6,291
2021-12-12,16:13,16:52,196,10,279
2021-12-12,17:47,18:18,216,9,308
2021-12-12,18:26,18:42,118,5,168
2021-12-13,04:32,04:54,250,22,341
2021-12-13,04:55,05:26,3203,324,3994
2021-12-13,06:01,06:22,156,7,223
2021-12-13,07:01,07:05,171,7,233
2021-12-13,17:41,17:47,78,4,111
2021-12-13,18:19,18:58,398,15,567
2021-12-13,19:09,19:37,177,8,252
2021-12-14,04:19,04:34,73,4,104
2021-12-14,04:44,06:12,5944,620,7271
2021-12-14,07:05,07:10,228,8,310
2021-12-14,12:04,12:11,244,9,303
2021-12-14,18:13,18:18,99,4,142
2021-12-15,04:29,04:59,2176,184,2661
2021-12-15,05:00,05:29,3375,349,4025
2021-12-15,07:04,07:13,177,7,242
