time,heartRate
2021-12-15 08:56:54+0000,95
2021-12-15 08:54:59+0000,103
2021-12-14 21:16:51+0000,97
2021-12-14 21:16:10+0000,127
2021-12-14 21:14:49+0000,108
2021-12-14 10:52:39+0000,67
2021-12-13 22:33:00+0000,82
2021-12-11 22:33:16+0000,83
2021-12-10 23:04:48+0000,66
2021-12-10 18:48:03+0000,69
2021-12-10 09:20:01+0000,108
2021-12-09 23:29:12+0000,103
2021-12-09 23:25:30+0000,87
2021-12-08 22:39:49+0000,101
2021-12-08 22:38:17+0000,101
2021-12-08 22:37:51+0000,93
2021-12-08 08:54:03+0000,116
2021-12-08 08:53:51+0000,118
2021-12-07 23:42:20+0000,122
2021-12-07 18:00:18+0000,81
2021-12-07 08:52:55+0000,98
2021-12-05 20:43:29+0000,99
2021-12-05 20:42:27+0000,120
2021-12-05 20:42:02+0000,121
2021-12-05 20:41:27+0000,100
2021-12-04 22:31:36+0000,100
2021-12-04 22:28:56+0000,129
2021-12-03 22:29:34+0000,109
2021-12-02 22:48:14+0000,102
2021-12-01 08:52:39+0000,125
2021-12-01 08:48:49+0000,98
