date,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2021-12-01,94,278,0,2021-11-30 23:19:00+0000,2021-12-01 07:11:00+0000
2021-12-02,55,279,0,2021-12-01 23:56:00+0000,2021-12-02 07:08:00+0000
2021-12-03,78,307,0,2021-12-03 00:15:00+0000,2021-12-03 06:59:00+0000
2021-12-04,105,291,0,2021-12-03 23:47:00+0000,2021-12-04 08:04:00+0000
2021-12-05,0,43,0,2021-12-05 09:04:00+0000,2021-12-05 09:52:00+0000
2021-12-06,90,302,1,2021-12-05 23:46:00+0000,2021-12-06 07:27:00+0000
2021-12-07,85,267,0,2021-12-07 00:09:00+0000,2021-12-07 07:21:00+0000
2021-12-08,89,230,0,2021-12-08 00:34:00+0000,2021-12-08 07:41:00+0000
2021-12-09,60,209,0,2021-12-09 02:11:00+0000,2021-12-09 07:45:00+0000
2021-12-10,118,246,14,2021-12-10 00:15:00+0000,2021-12-10 08:15:00+0000
2021-12-11,107,302,5,2021-12-11 00:36:00+0000,2021-12-11 08:30:00+0000
2021-12-12,61,341,13,2021-12-11 23:55:00+0000,2021-12-12 07:43:00+0000
2021-12-13,79,240,0,2021-12-13 01:14:00+0000,2021-12-13 07:31:00+0000
2021-12-14,83,209,0,2021-12-14 00:13:00+0000,2021-12-14 06:39:00+0000
2021-12-15,73,311,0,2021-12-14 23:12:00+0000,2021-12-15 06:53:00+0000
